ticker,data_symbol,name,category,scheme,reference_mode,events,avg_drawdown_at_trigger,avg_max_adverse_252d,avg_ret_21d,win_rate_ret_21d,avg_ret_63d,win_rate_ret_63d,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d
SLB,SLB,Schlumberger,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,18,-27.35%,-17.46%,0.23%,55.56%,5.37%,72.22%,14.40%,55.56%,11.90%,55.56%
SLB,SLB,Schlumberger,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,16,-32.39%,-15.45%,0.78%,56.25%,11.16%,68.75%,16.87%,75.00%,17.58%,68.75%
SMCI,SMCI,Super Micro Computer,AI_STOCK,STOCK_A_15_25_35_50,52w_high,51,-27.80%,-27.80%,7.24%,58.82%,12.23%,62.75%,30.38%,60.78%,90.77%,62.75%
SMCI,SMCI,Super Micro Computer,AI_STOCK,STOCK_B_20_30_40_55,52w_high,39,-32.63%,-27.07%,7.71%,64.10%,8.74%,56.41%,32.40%,56.41%,78.94%,56.41%
SMCI,SMCI,Super Micro Computer,AI_STOCK,STOCK_C_25_35_45_60,52w_high,32,-37.44%,-26.58%,9.90%,62.50%,13.64%,62.50%,25.74%,59.38%,58.94%,56.25%
SNDK,SNDK,SanDisk,SEMICONDUCTOR_STOCK,STOCK_A_15_25_35_50,52w_high,11,-23.73%,-5.46%,43.46%,63.64%,258.07%,72.73%,989.90%,36.36%,,0.00%
SNDK,SNDK,SanDisk,SEMICONDUCTOR_STOCK,STOCK_B_20_30_40_55,52w_high,8,-26.39%,-2.50%,39.22%,75.00%,237.37%,75.00%,896.99%,37.50%,,0.00%
SNDK,SNDK,SanDisk,SEMICONDUCTOR_STOCK,STOCK_C_25_35_45_60,52w_high,4,-26.82%,-2.86%,57.24%,75.00%,295.05%,75.00%,989.90%,50.00%,,0.00%
SOXS,SOXS,Direxion Daily Semiconductor Bear 3X ETF,INVERSE_LEVERAGED_ETF,HIGH_VOL_A_35_50_65,52w_high,12,-54.17%,-74.81%,-20.54%,8.33%,-42.35%,0.00%,-53.29%,0.00%,-71.09%,0.00%
SPOT,SPOT,Spotify,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,16,-29.13%,-26.35%,6.09%,56.25%,5.97%,56.25%,11.31%,43.75%,11.09%,37.50%
SPOT,SPOT,Spotify,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,12,-36.57%,-25.01%,6.17%,66.67%,4.86%,50.00%,16.02%,33.33%,19.29%,41.67%
SQQQ,SQQQ,ProShares UltraPro Short QQQ,INVERSE_LEVERAGED_ETF,HIGH_VOL_A_35_50_65,52w_high,10,-49.16%,-59.40%,-6.15%,10.00%,-17.86%,20.00%,-33.17%,0.00%,-55.46%,0.00%
STLD,STLD,Steel Dynamics,STOCK,STOCK_A_15_25_35_50,52w_high,29,-24.10%,-12.38%,6.77%,75.86%,14.98%,75.86%,18.95%,75.86%,27.78%,72.41%
STLD,STLD,Steel Dynamics,STOCK,STOCK_B_20_30_40_55,52w_high,20,-28.51%,-12.36%,8.58%,70.00%,11.81%,75.00%,20.21%,70.00%,27.40%,70.00%
STLD,STLD,Steel Dynamics,STOCK,STOCK_C_25_35_45_60,52w_high,13,-31.40%,-15.37%,5.29%,76.92%,13.61%,92.31%,14.13%,76.92%,21.81%,69.23%
STNG,STNG,Scorpio Tankers,CYCLICAL_STOCK,STOCK_B_20_30_40_55,52w_high,28,-33.61%,-33.19%,-0.09%,53.57%,2.46%,57.14%,-4.18%,46.43%,14.25%,42.86%
STNG,STNG,Scorpio Tankers,CYCLICAL_STOCK,STOCK_C_25_35_45_60,52w_high,23,-39.36%,-33.08%,-5.09%,39.13%,3.97%,52.17%,-3.42%,34.78%,28.04%,60.87%
T,T,AT&T,STOCK,STOCK_A_15_25_35_50,52w_high,15,-20.41%,-10.05%,3.15%,53.33%,5.07%,60.00%,7.82%,60.00%,10.17%,53.33%
T,T,AT&T,STOCK,STOCK_B_20_30_40_55,52w_high,9,-22.93%,-9.59%,2.26%,55.56%,5.45%,55.56%,10.88%,66.67%,19.32%,66.67%
T,T,AT&T,STOCK,STOCK_C_25_35_45_60,52w_high,6,-26.64%,-5.26%,8.75%,66.67%,10.80%,83.33%,19.97%,83.33%,26.07%,83.33%
TCOM,TCOM,Trip.com,CHINA_STOCK,STOCK_B_20_30_40_55,52w_high,30,-30.41%,-23.53%,5.11%,73.33%,10.12%,63.33%,15.86%,60.00%,17.33%,60.00%
TCOM,TCOM,Trip.com,CHINA_STOCK,STOCK_C_25_35_45_60,52w_high,24,-35.09%,-24.83%,4.43%,54.17%,8.48%,54.17%,18.95%,66.67%,12.67%,50.00%
TMUS,TMUS,T-Mobile US,STOCK,STOCK_A_15_25_35_50,52w_high,21,-24.56%,-16.35%,6.34%,76.19%,1.83%,47.62%,7.66%,66.67%,27.14%,66.67%
TMUS,TMUS,T-Mobile US,STOCK,STOCK_B_20_30_40_55,52w_high,13,-31.47%,-18.87%,6.25%,76.92%,3.72%,53.85%,14.79%,61.54%,39.65%,61.54%
TMUS,TMUS,T-Mobile US,STOCK,STOCK_C_25_35_45_60,52w_high,9,-36.50%,-21.25%,6.58%,88.89%,3.56%,44.44%,13.64%,55.56%,31.99%,55.56%
TSM,TSM,TSMC,AI_STOCK,STOCK_A_15_25_35_50,52w_high,24,-20.71%,-10.22%,4.52%,70.83%,13.94%,87.50%,28.84%,83.33%,54.06%,79.17%
TSM,TSM,TSMC,AI_STOCK,STOCK_B_20_30_40_55,52w_high,13,-27.43%,-12.07%,7.27%,76.92%,15.86%,76.92%,26.01%,76.92%,60.03%,76.92%
TSM,TSM,TSMC,AI_STOCK,STOCK_C_25_35_45_60,52w_high,6,-32.45%,-18.39%,8.31%,83.33%,17.75%,50.00%,35.00%,50.00%,76.75%,66.67%
UBER,UBER,Uber,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,13,-33.86%,-27.31%,8.72%,84.62%,15.06%,69.23%,12.95%,53.85%,28.55%,61.54%
UBER,UBER,Uber,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,11,-39.73%,-25.38%,14.09%,81.82%,28.62%,81.82%,25.19%,54.55%,59.84%,63.64%
UMC,UMC,UMC,SEMICONDUCTOR_STOCK,STOCK_A_15_25_35_50,52w_high,30,-23.35%,-16.59%,1.29%,53.33%,6.55%,53.33%,14.50%,50.00%,22.48%,53.33%
UMC,UMC,UMC,SEMICONDUCTOR_STOCK,STOCK_B_20_30_40_55,52w_high,23,-27.21%,-13.14%,3.87%,65.22%,15.11%,60.87%,20.87%,65.22%,32.57%,65.22%
UMC,UMC,UMC,SEMICONDUCTOR_STOCK,STOCK_C_25_35_45_60,52w_high,14,-30.33%,-14.93%,2.84%,64.29%,10.97%,57.14%,9.75%,57.14%,14.92%,64.29%
UNG,UNG,US Natural Gas ETF,COMMODITY_ETF,ETF_A_10_20_30,52w_high,35,-19.82%,-45.68%,-2.02%,34.29%,-9.86%,25.71%,-17.89%,17.14%,-31.88%,20.00%
UNG,UNG,US Natural Gas ETF,COMMODITY_ETF,ETF_B_15_25_35,52w_high,30,-25.32%,-44.95%,-1.26%,33.33%,-7.52%,30.00%,-15.23%,13.33%,-34.08%,16.67%
UNH,UNH,UnitedHealth,STOCK,STOCK_A_15_25_35_50,52w_high,18,-22.56%,-18.31%,3.61%,77.78%,1.31%,66.67%,9.04%,72.22%,18.24%,72.22%
UNH,UNH,UnitedHealth,STOCK,STOCK_B_20_30_40_55,52w_high,10,-30.70%,-20.77%,5.82%,80.00%,6.06%,70.00%,10.24%,70.00%,28.96%,70.00%
UNH,UNH,UnitedHealth,STOCK,STOCK_C_25_35_45_60,52w_high,7,-37.19%,-24.64%,8.05%,71.43%,-0.27%,42.86%,7.83%,57.14%,19.59%,42.86%
UNP,UNP,Union Pacific,STOCK,STOCK_A_15_25_35_50,52w_high,14,-21.33%,-12.82%,5.53%,57.14%,12.27%,71.43%,16.80%,71.43%,28.00%,85.71%
UNP,UNP,Union Pacific,STOCK,STOCK_B_20_30_40_55,52w_high,9,-27.86%,-10.00%,9.38%,77.78%,17.83%,88.89%,20.35%,66.67%,33.36%,77.78%
UNP,UNP,Union Pacific,STOCK,STOCK_C_25_35_45_60,52w_high,5,-30.58%,-11.97%,9.86%,60.00%,15.37%,60.00%,26.14%,80.00%,39.86%,100.00%
USO,USO,US Oil Fund,COMMODITY_ETF,ETF_A_10_20_30,52w_high,45,-16.58%,-23.01%,-0.95%,51.11%,-1.57%,44.44%,-1.23%,44.44%,-4.42%,33.33%
USO,USO,US Oil Fund,COMMODITY_ETF,ETF_B_15_25_35,52w_high,29,-21.24%,-23.77%,-1.92%,55.17%,-6.95%,44.83%,1.46%,51.72%,-0.54%,44.83%
VDE,VDE,Vanguard Energy ETF,SECTOR_ETF,ETF_A_10_20_30,52w_high,33,-14.69%,-10.62%,2.32%,57.58%,5.00%,57.58%,9.25%,69.70%,16.33%,66.67%
VDE,VDE,Vanguard Energy ETF,SECTOR_ETF,ETF_B_15_25_35,52w_high,17,-20.84%,-12.30%,0.22%,47.06%,6.58%,70.59%,10.49%,70.59%,17.47%,76.47%
VNQ,VNQ,Vanguard Real Estate ETF,SECTOR_ETF,ETF_A_10_20_30,52w_high,19,-15.47%,-10.38%,2.87%,73.68%,6.26%,84.21%,8.80%,73.68%,13.34%,73.68%
VNQ,VNQ,Vanguard Real Estate ETF,SECTOR_ETF,ETF_B_15_25_35,52w_high,11,-19.52%,-9.83%,4.42%,81.82%,9.61%,90.91%,9.52%,72.73%,20.22%,81.82%
VZ,VZ,Verizon,STOCK,STOCK_A_15_25_35_50,52w_high,9,-17.14%,-8.65%,6.55%,77.78%,6.19%,77.78%,5.66%,66.67%,8.05%,55.56%
VZ,VZ,Verizon,STOCK,STOCK_B_20_30_40_55,52w_high,2,-25.25%,-16.86%,-5.00%,50.00%,-1.37%,50.00%,-0.32%,50.00%,-12.13%,0.00%
VZ,VZ,Verizon,STOCK,STOCK_C_25_35_45_60,52w_high,1,-25.29%,-17.17%,-8.39%,0.00%,-7.23%,0.00%,-5.06%,0.00%,-12.35%,0.00%
WLK,WLK,Westlake,CYCLICAL_STOCK,STOCK_B_20_30_40_55,52w_high,25,-33.54%,-20.27%,4.09%,36.00%,8.97%,44.00%,28.41%,60.00%,44.31%,56.00%
WLK,WLK,Westlake,CYCLICAL_STOCK,STOCK_C_25_35_45_60,52w_high,20,-36.34%,-20.13%,5.20%,40.00%,9.70%,45.00%,29.67%,50.00%,48.70%,65.00%
WMB,WMB,Williams,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,16,-30.23%,-33.82%,1.77%,50.00%,6.33%,62.50%,6.56%,68.75%,19.61%,62.50%
WMB,WMB,Williams,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,13,-37.25%,-34.93%,3.87%,53.85%,11.39%,61.54%,16.67%,69.23%,35.36%,76.92%
WMT,WMT,Walmart,STOCK,STOCK_A_15_25_35_50,52w_high,10,-19.81%,-7.75%,-0.80%,40.00%,4.64%,60.00%,11.48%,80.00%,19.25%,80.00%
WMT,WMT,Walmart,STOCK,STOCK_B_20_30_40_55,52w_high,5,-23.55%,-6.89%,2.48%,60.00%,5.33%,60.00%,12.54%,80.00%,23.36%,100.00%
WMT,WMT,Walmart,STOCK,STOCK_C_25_35_45_60,52w_high,3,-28.51%,-5.90%,0.99%,66.67%,6.49%,66.67%,15.79%,100.00%,21.37%,100.00%
XOM,XOM,Exxon Mobil,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,9,-28.84%,-15.90%,-4.16%,44.44%,11.54%,66.67%,3.13%,44.44%,27.51%,77.78%
XOM,XOM,Exxon Mobil,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,5,-39.09%,-22.66%,-1.55%,40.00%,12.81%,60.00%,-1.90%,40.00%,34.98%,80.00%
